timestamp,machine_id,temperature,pressure,vibration,flow_rate,humidity,failure
2026-01-02 00:00:00,COMP_1,98.30,237.05,0.567,114.92,49.65,1
2026-01-02 01:00:00,COMP_2,100.15,250.41,0.615,106.30,51.08,1
2026-01-02 02:00:00,PUMP_1,93.43,236.40,0.531,108.65,47.49,0
2026-01-02 03:00:00,PUMP_2,100.91,261.42,0.761,99.69,56.66,1
2026-01-02 04:00:00,VALVE_1,75.25,191.63,0.253,128.93,40.78,0
2026-01-02 05:00:00,VALVE_2,82.94,206.01,0.377,124.15,44.29,0
2026-01-02 06:00:00,COMP_1,91.89,225.80,0.483,119.23,45.65,0
2026-01-02 07:00:00,COMP_2,101.83,254.27,0.689,108.30,51.04,1
2026-01-02 08:00:00,PUMP_1,89.23,222.02,0.428,117.26,45.88,0
2026-01-02 09:00:00,PUMP_2,95.48,242.31,0.562,107.19,49.51,0
2026-01-02 10:00:00,VALVE_1,82.59,208.39,0.418,122.24,44.00,0
2026-01-02 11:00:00,VALVE_2,96.79,238.34,0.542,111.20,51.64,1
2026-01-02 12:00:00,COMP_1,91.75,225.11,0.432,120.42,46.96,0
2026-01-02 13:00:00,COMP_2,92.63,227.90,0.448,116.60,47.28,0
2026-01-02 14:00:00,PUMP_1,90.12,224.35,0.411,113.44,47.84,0
2026-01-02 15:00:00,PUMP_2,102.20,263.85,0.725,100.80,54.67,1
2026-01-02 16:00:00,VALVE_1,86.60,217.55,0.483,117.83,45.04,0
2026-01-02 17:00:00,VALVE_2,81.58,202.21,0.333,124.39,44.72,0
2026-01-02 18:00:00,COMP_1,99.07,243.07,0.608,109.00,50.48,1
2026-01-02 19:00:00,COMP_2,92.87,228.50,0.469,116.93,46.32,0
2026-01-02 20:00:00,PUMP_1,92.44,231.69,0.455,111.60,46.30,0
2026-01-02 21:00:00,PUMP_2,103.37,263.32,0.742,95.77,54.05,1
2026-01-02 22:00:00,VALVE_1,85.68,215.46,0.428,117.74,45.79,0
2026-01-02 23:00:00,VALVE_2,88.22,219.52,0.461,123.24,45.24,0
2026-01-03 00:00:00,COMP_1,91.85,225.34,0.447,117.76,46.26,0
2026-01-03 01:00:00,COMP_2,89.14,217.44,0.429,120.29,47.15,0
2026-01-03 02:00:00,PUMP_1,103.08,258.27,0.737,106.04,53.78,1
2026-01-03 03:00:00,PUMP_2,96.06,244.26,0.563,109.28,50.39,0
2026-01-03 04:00:00,VALVE_1,87.82,220.37,0.493,118.32,45.94,0
2026-01-03 05:00:00,VALVE_2,86.35,214.79,0.426,123.39,44.53,0
2026-01-03 06:00:00,COMP_1,91.34,224.17,0.440,121.68,45.13,0
2026-01-03 07:00:00,COMP_2,92.44,227.73,0.461,114.71,48.71,0
2026-01-03 08:00:00,PUMP_1,91.68,230.23,0.473,113.23,47.75,0
2026-01-03 09:00:00,PUMP_2,100.67,259.61,0.720,101.48,54.80,1
2026-01-03 10:00:00,VALVE_1,75.57,192.38,0.259,128.44,43.48,0
2026-01-03 11:00:00,VALVE_2,83.69,208.05,0.365,125.69,45.65,0
2026-01-03 12:00:00,COMP_1,89.02,218.02,0.397,122.60,45.18,0
2026-01-03 13:00:00,COMP_2,86.97,211.86,0.360,119.68,45.83,0
2026-01-03 14:00:00,PUMP_1,91.47,230.45,0.478,112.86,47.27,0
2026-01-03 15:00:00,PUMP_2,93.65,237.67,0.528,108.47,49.35,0
2026-01-03 16:00:00,VALVE_1,82.23,207.67,0.392,123.25,45.27,0
2026-01-03 17:00:00,VALVE_2,95.67,236.53,0.595,116.25,49.99,1
2026-01-03 18:00:00,COMP_1,90.08,221.43,0.485,117.86,45.66,0
2026-01-03 19:00:00,COMP_2,92.96,230.35,0.508,115.27,47.23,0
2026-01-03 20:00:00,PUMP_1,92.35,234.17,0.563,112.47,47.34,0
2026-01-03 21:00:00,PUMP_2,93.32,237.71,0.586,110.06,51.26,0
